SampleNo.,Grading.%PassingBSSieveSize(mm).20,Grading.%PassingBSSieveSize(mm).10,Grading.%PassingBSSieveSize(mm).5,Grading.%PassingBSSieveSize(mm).2,Grading.%PassingBSSieveSize(mm).0.425,Grading.%PassingBSSieveSize(mm).0.075,AtterbergLimits.LL.%,AtterbergLimits.PL.%,AtterbergLimits.PI.%,AtterbergLimits.LS.%,CompactionT180.MDD.Kgm3,CompactionT180.OMC.(%),CBR.4daysSoak.(%),Swell.(%),SoilComposition.Gravel.(%),SoilComposition.Sand.(%),SoilComposition.SiltClay.(%),CBR_Bin
1,100,77,57,44,29,24,37,25,12,6,1690,16.1,30,0.1,46,17,37,Medium
2,100,78,60,49,20,11,47,33,14,7,1780,18.7,25,0.1,50,15,35,Medium
3,100,100,99,92,80,76,51,29,22,11,1485,13.6,8,0.3,8,16,76,Low
4,100,89,76,62,47,32,43,28,15,8,1605,19.4,17,0.2,38,30,32,Medium
5,100,84,67,52,35,30,46,32,14,7,1650,18.5,24,0.2,48,22,30,Medium
6,100,93,79,63,47,39,50,32,18,9,1490,19.9,15,0.15,37,24,39,Medium
7,100,97,91,81,62,49,52,31,21,10,1515,19.4,12,0.2,19,32,49,Medium
8,100,95,89,82,71,55,53,34,19,9,1470,17.3,16,0.2,18,27,55,Medium
9,100,77,63,52,31,26,49,37,12,7,1650,10.1,7,0.2,48,36,26,Low
10,100,77,57,44,29,24,37,26,11,6,1715,10.5,8,0.1,56,20,24,Low
11,100,78,60,49,20,11,47,35,12,6,1765,11.7,17,0.1,51,38,11,Medium
12,100,75,61,45,27,19,49,33,16,8,1540,16.0,45,0.2,55,26,19,High
13,100,75,61,45,27,19,49,36,13,6,1540,16.0,160,0.1,55,26,19,Very_High
14,100,75,61,45,27,19,50,40,10,5,1540,16.0,190,0.1,55,26,19,Very_High
15,100,75,61,45,27,19,52,44,8,4,1540,16.0,220,0.05,55,26,19,Very_High
16,100,75,61,45,27,19,50,44,6,3,1540,16.0,260,0.05,55,26,19,Very_High
17,100,80,70,63,40,27,39,22,17,8,1865,10.2,30,0.1,37,36,27,Medium
18,100,76,57,46,32,27,49,29,20,10,1646,18.0,30,0.2,54,19,27,Medium
19,100,90,68,50,34,30,41,29,12,6,1775,15.6,35,0.1,50,20,30,High
20,100,88,65,50,39,31,50,30,20,10,1685,16.4,29,0.2,50,19,31,Medium
21,100,96,88,81,66,49,82,34,48,9,1357,25.3,15,0.2,19,32,49,Medium
22,100,89,66,51,40,32,48,28,20,10,1990,13.8,20,0.2,49,19,32,Medium
23,100,89,78,67,49,31,46,38,8,4,1440,20.0,15,0.1,33,36,31,Medium
24,100,93,73,57,39,30,41,28,13,6,1681,16.2,23,0.1,43,27,30,Medium
25,100,87,62,41,31,23,42,26,16,8,1524,12.7,11,0.1,59,18,23,Medium
26,100,82,63,48,33,25,40,25,15,7,1652,13.7,22,0.1,52,23,25,Medium
27,100,85,60,49,35,24,48,29,19,10,1580,20.6,26,0.2,51,25,24,Medium
28,100,90,66,44,21,14,47,27,20,10,1771,15.0,28,0.2,56,30,14,Medium
29,100,75,50,38,27,19,35,20,15,8,1465,12.7,26,0.1,62,19,19,Medium
30,100,75,50,38,27,19,35,20,15,8,1601,14.8,35,0.1,62,19,19,High
31,100,82,56,45,36,28,52,30,22,11,1574,20.6,30,0.3,55,17,28,Medium
32,100,81,63,53,42,30,32,20,12,6,1944,12.5,26,0.2,47,23,30,Medium
33,100,95,79,68,57,43,39,27,12,6,1340,20.8,15,0.2,32,25,43,Medium
34,100,86,73,60,39,30,48,32,16,8,1774,16.2,30,0.2,40,30,30,Medium
35,100,86,73,61,41,32,41,35,6,3,1440,19.5,40,0.1,39,29,32,High
36,100,97,85,77,69,65,40,25,15,8,1360,13.8,10,0.2,23,12,65,Low
37,100,88,75,61,45,40,73,52,21,11,1590,11.7,11,0.2,39,21,40,Medium
38,100,90,67,48,28,25,45,30,15,7,1740,12.4,35,0.1,52,23,25,High
