SampleNo.,Grading.%PassingBSSieveSize(mm).20,Grading.%PassingBSSieveSize(mm).10,Grading.%PassingBSSieveSize(mm).5,Grading.%PassingBSSieveSize(mm).2,Grading.%PassingBSSieveSize(mm).0.425,Grading.%PassingBSSieveSize(mm).0.075,AtterbergLimits.LL.%,AtterbergLimits.PL.%,AtterbergLimits.PI.%,AtterbergLimits.LS.%,CompactionT180.MDD.Kgm3,CompactionT180.OMC.(%),CBR.4daysSoak.(%),Swell.(%),SoilComposition.Gravel.(%),SoilComposition.Sand.(%),SoilComposition.SiltClay.(%)
30,100,75,50,38,27,19,35,20,15,8,1601,14.8,35,0.1,62,19,19
19,100,90,68,50,34,30,41,29,12,6,1775,15.6,35,0.1,50,20,30
71,100,97,84,65,35,24,40,28,12,6,1660,16.0,24,0.1,35,41,24
85,100,100,99,95,60,31,32,18,14,7,1900,13.0,9,0.1,5,64,31
34,100,86,73,60,39,30,48,32,16,8,1774,16.2,30,0.2,40,30,30
9,100,77,63,52,31,26,49,37,12,7,1650,10.1,7,0.2,48,36,26
32,100,81,63,53,42,30,32,20,12,6,1944,12.5,26,0.2,47,23,30
58,100,94,88,84,69,50,44,12,32,16,1552,15.3,6,0.3,16,34,50
44,100,88,65,50,39,31,50,30,20,10,1685,16.4,29,0.2,50,19,31
81,100,99,91,55,14,7,32,23,9,4,1873,11.1,17,0.1,45,48,7
12,100,75,61,45,27,19,49,33,16,8,1540,16.0,45,0.2,55,26,19
5,100,84,67,52,35,30,46,32,14,7,1650,18.5,24,0.2,48,22,30
39,100,98,93,74,50,44,55,40,15,8,1395,18.4,10,0.2,26,30,44
14,100,75,61,45,27,19,50,40,10,5,1540,16.0,190,0.1,55,26,19
3,100,100,99,92,80,76,51,29,22,11,1485,13.6,8,0.3,8,16,76
17,100,80,70,63,40,27,39,22,17,8,1865,10.2,30,0.1,37,36,27
61,100,76,61,50,33,14,44,27,17,8,1782,11.5,10,0.2,50,36,14
73,100,100,100,96,80,66,77,45,31,16,1580,17.3,5,0.3,49,13,38
62,100,85,60,49,35,24,48,29,19,10,1580,20.6,28,0.2,51,25,24
70,100,90,59,34,23,18,48,27,21,11,1607,17.5,15,0.2,66,16,18
26,100,82,63,48,33,25,40,25,15,7,1652,13.7,22,0.1,52,23,25
18,100,76,57,46,32,27,49,29,20,10,1646,18.0,30,0.2,54,19,27
53,100,86,70,51,20,17,40,27,13,6,1682,15.5,30,0.1,49,34,17
8,100,95,89,82,71,55,53,34,19,9,1470,17.3,16,0.2,18,27,55
28,100,90,66,44,21,14,47,27,20,10,1771,15.0,28,0.2,56,30,14
57,100,89,82,76,58,49,52,40,12,6,1448,19.7,30,0.3,24,27,49
55,100,100,100,86,60,48,64,39,25,12,1269,28.0,5,0.3,14,38,48
31,100,82,56,45,36,28,52,30,22,11,1574,20.6,30,0.3,55,17,28
60,100,76,46,33,15,6,47,27,20,10,1644,21.0,30,0.2,67,27,6
20,100,88,65,50,39,31,50,30,20,10,1685,16.4,29,0.2,50,19,31
41,100,83,59,43,33,27,53,34,19,9,1883,16.3,26,0.2,57,16,27
47,100,61,21,10,7,6,45,27,18,9,1764,12.5,35,0.3,90,4,6
1,100,77,57,44,29,24,37,25,12,6,1690,16.1,30,0.1,46,17,37
40,100,100,99,90,75,65,75,50,25,13,1120,27.3,1,2.6,10,25,65
29,100,75,50,38,27,19,35,20,15,8,1465,12.7,26,0.1,62,19,19
10,100,77,57,44,29,24,37,26,11,6,1715,10.5,8,0.1,56,20,24
77,100,100,99,91,79,63,68,45,23,11,1357,19.3,16,0.35,9,28,63
80,100,100,99,98,70,51,44,25,19,9,1716,18.3,12,0.2,2,47,51
48,100,99,98,97,94,87,52,29,23,11,1470,13.2,4,0.3,3,10,87
16,100,75,61,45,27,19,50,44,6,3,1540,16.0,260,0.05,55,26,19
15,100,75,61,45,27,19,52,44,8,4,1540,16.0,220,0.05,55,26,19
88,100,99,99,98,76,48,31,18,15,7,1708,13.5,12,0.1,2,50,48
87,100,100,100,95,42,17,34,23,11,5,1780,11.2,25,0.1,5,78,17
65,100,85,60,49,35,24,40,31,9,4,1580,20.6,140,0.05,51,25,24
7,100,97,91,81,62,49,52,31,21,10,1515,19.4,12,0.2,19,32,49
45,100,96,88,81,66,49,82,34,48,9,1357,25.3,15,0.2,19,32,49
63,100,85,60,49,35,24,46,31,15,7,1580,20.6,60,0.1,51,25,24
59,100,86,75,55,33,22,44,27,17,9,1827,15.0,30,0.2,45,33,22
11,100,78,60,49,20,11,47,35,12,6,1765,11.7,17,0.1,51,38,11
22,100,89,66,51,40,32,48,28,20,10,1990,13.8,20,0.2,49,19,32
2,100,78,60,49,20,11,47,33,14,7,1780,18.7,25,0.1,50,15,35
54,100,100,98,91,84,78,58,32,26,13,1273,27.2,5,0.3,9,13,78
21,100,96,88,81,66,49,82,34,48,9,1357,25.3,15,0.2,19,32,49
