Grading.Unnamed:0_level_1.%PassingBSSieveSize(mm).20,Grading.Unnamed:1_level_1.%PassingBSSieveSize(mm).10,Grading.Unnamed:2_level_1.%PassingBSSieveSize(mm).5,Grading.Unnamed:3_level_1.%PassingBSSieveSize(mm).2,Grading.Unnamed:4_level_1.%PassingBSSieveSize(mm).0.425,Grading.Unnamed:5_level_1.%PassingBSSieveSize(mm).0.075,AtterbergLimits.Unnamed:6_level_1.LL.%,AtterbergLimits.Unnamed:7_level_1.PL.%,AtterbergLimits.Unnamed:8_level_1.PI.%,AtterbergLimits.Unnamed:9_level_1.LS.%,AtterbergLimits.Unnamed:10_level_1.PM.Unnamed:10_level_3,Compaction.Unnamed:11_level_1.MDD.Kgm3,Compaction.Unnamed:12_level_1.OMC.(%),CBR.Unnamed:13_level_1.4daysSoak.(%),Swell.Unnamed:14_level_1.(%).Unnamed:14_level_3,SoilComposition.Unnamed:15_level_1.Gravel.(%),SoilComposition.Unnamed:16_level_1.Sand.(%),SoilComposition.Unnamed:17_level_1.SiltClay.(%)
100,90,82,76,55,44,46,27,19,10,1045,1410.0,18.2,19.0,0.3,24,32,44
100,91,64,45,27,22,41,23,18,9,486,1628.0,16.3,35.0,0.1,55,23,22
100,84,59,45,30,25,32,16,16,8,480,1747.0,14.5,40.0,0.1,55,20,25
100,89,76,54,46,38,42,27,15,8,690,1629.0,15.3,30.0,0.9,46,16,38
100,97,81,65,46,35,40,25,15,8,690,1889.0,14.8,30.0,0.3,35,30,35
100,99,88,62,43,40,51,30,21,11,903,1413.0,18.0,9.0,1.0,38,22,40
100,96,85,59,40,35,50,31,19,11,760,1388.0,18.4,12.0,1.0,41,24,35
100,77,57,50,41,37,62,36,26,13,1066,1204.0,33.0,3.0,1.2,50,13,37
100,98,75,48,26,21,55,32,22,11,572,1610.0,16.8,13.0,1.0,52,27,21
100,98,79,61,37,28,43,25,19,9,703,1637.0,17.5,20.0,1.0,39,33,28
100,86,68,59,49,45,55,34,22,11,1078,1498.0,26.2,16.0,1.1,41,14,45
100,93,82,75,54,45,42,23,19,9,1026,1384.0,15.0,14.0,0.9,25,30,45
100,84,59,46,35,31,44,28,16,8,560,1537.0,18.4,11.0,0.35,54,15,31
100,82,68,58,39,29,48,30,18,9,702,1382.0,22.4,18.0,0.9,42,29,29
100,87,63,46,29,25,37,25,12,6,348,1562.0,15.4,22.0,0.3,54,21,25
100,89,82,78,65,55,34,27,7,4,455,1432.0,20.6,6.0,0.2,22,23,55
100,87,76,70,62,54,22,13,8,4,496,1998.0,8.4,30.0,0.2,30,16,54
100,99,96,91,81,76,33,21,12,6,972,1524.0,20.9,30.0,0.3,9,15,76
100,93,87,81,67,54,45,25,20,10,1340,1502.0,15.5,17.0,1.0,19,27,54
100,92,85,73,47,32,38,25,13,6,611,1529.0,17.1,15.0,0.35,27,41,32
100,82,60,43,37,20,35,22,13,6,481,1950.0,13.0,35.0,0.2,57,23,20
100,100,100,61,52,46,49,27,22,11,1248,1532.0,20.9,28.0,0.35,39,15,46
100,100,99,90,83,75,43,21,22,11,1826,1480.0,24.6,3.0,1.3,10,15,75
100,100,100,97,95,92,56,32,24,12,2280,1445.0,23.7,2.0,1.4,3,5,92
100,100,100,96,88,78,51,31,20,10,1760,1245.0,26.0,5.0,1.0,4,18,78
100,100,100,100,99,94,56,40,16,8,1584,1262.0,26.8,6.0,0.4,0,6,94
100,100,100,100,98,94,51,30,21,10,2058,1262.0,31.6,7.0,1.0,0,6,94
100,100,100,100,93,91,60,38,22,11,2046,1232.0,27.4,4.0,1.0,0,9,91
100,90,85,55,50,42,56,39,17,9,850,1560.0,19.4,18.0,1.0,45,13,42
100,92,80,68,52,42,47,32,14,7,728,1631.0,14.6,30.0,0.6,32,26,42
100,98,92,82,63,50,40,34,6,3,378,1535.0,20.9,24.0,0.4,12,32,56
100,98,90,78,58,45,42,24,18,9,1044,1570.0,19.2,27.0,0.1,22,33,45
100,80,57,42,29,23,38,22,16,8,464,1558.0,19.4,27.0,0.35,58,19,23
100,71,50,39,29,25,45,27,18,9,522,1464.0,21.8,35.0,1.0,61,14,25
100,98,94,92,87,83,58,36,22,11,1914,1430.0,22.0,3.0,1.2,8,9,83
100,100,80,64,46,38,46,24,22,11,1012,1602.0,20.0,25.0,1.2,36,26,38
100,95,82,66,45,34,55,37,18,9,810,1688.0,15.6,25.0,0.35,34,32,34
100,100,100,96,91,88,64,31,33,17,3003,1235.0,29.2,1.0,3.0,4,8,88
100,91,75,60,38,26,35,24,11,6,418,1546.0,15.6,30.0,0.2,40,34,26
100,100,100,99,90,85,63,35,27,14,2430,1304.0,29.5,2.0,2.8,1,14,85
100,97,90,72,40,32,41,23,17,9,680,1629.0,17.1,23.0,1.0,28,40,32
100,100,100,93,81,77,60,32,28,14,2268,1295.0,30.1,1.0,3.0,7,16,77
100,97,94,87,75,70,63,34,29,13,2025,1304.0,28.9,2.0,3.0,13,17,70
100,100,100,99,94,88,46,28,18,9,1692,1333.0,27.0,6.0,1.0,1,11,88
100,100,100,80,63,59,58,39,19,9,1197,1476.0,23.4,19.0,1.2,20,21,59
100,100,92,79,56,45,60,42,18,9,1008,1510.0,22.5,20.0,1.2,21,34,45
100,79,63,51,33,22,50,37,13,6,429,1720.0,15.5,30.0,0.3,49,29,22
100,63,45,34,26,22,36,24,12,6,312,1246.0,31.9,20.0,0.2,66,12,22
100,76,57,40,19,11,40,26,14,7,266,2060.0,8.0,35.0,0.3,60,29,11
100,88,77,61,38,27,43,36,7,4,266,1645.0,20.4,35.0,0.2,39,34,27
100,98,94,89,68,54,50,28,22,11,1496,1520.0,18.7,10.0,0.9,11,35,54
100,96,90,80,59,41,41,28,13,7,767,1395.0,26.4,35.0,0.1,20,39,41
100,99,94,84,68,57,48,28,20,9,1360,1450.0,22.8,6.0,0.9,16,27,57
